abstract,city,country,postcode,region,street,date,event,event_url,location,projects,publishDate,summary,tags,title,url_code,url_pdf,url_slides,url_video
,South Salt Lake City,United States,,UT,,2/1/12,Department In-service,,South Salt Lake Fire Department,,,,,STEMI Pearls and Pitfalls,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJQlVVVUdxdGgzSHM,
,Provo,United States,,UT,,2/1/12,Faculty In-service,,Utah Fire Rescue Academy,,,,,STEMI Pearls and Pitfalls,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJSWJZWEljeWh0SlU,
,Murray,United States,,UT,,4/1/12,STEMI Committee Meeting,,Intermountain Medical Center,,,,,What's new in Pre-hospital STEMI,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJYnhQQm1kVTRrTm8,
,Murray,United States,,UT,,4/1/12,Emergency Nurseâ€™s Association Salt Lake City Chapter,,Intermountain Medical Center,,,,,EKG Pearls and Pitfalls in the ED,,,https://drive.google.com/open?id=1YZJ51O6Z9G57JF_mGXWlwQagw-4hq3Uw,
,Sandy City Fire Department,United States,,UT,,1/1/13,Department In-service,,Sandy City Fire Department,,,,,STEMI Pearls and Pitfalls,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJWUNtclNyaUFRTUU,
,Murray,United States,,UT,,4/1/13,STEMI Committee Meeting,,Intermountain Medical Center,,,,,Best Practices for STEMI care at Intermountain Medical Center,,,,
,Murray,United States,,UT,,12/1/13,Department In-service,,Unified Fire Authority,,,,,Code STEMI Train the Trainer,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJWUNtclNyaUFRTUU,
,Orem,United States,,UT,,4/1/14,Utah Valley University's 3rd Annual Emergency Services and Disaster Conference,,Utah Valley University,,,,,Prehospital Diagnosis of ST-segment elevated myocardial infarction,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJWkdPVXpYSDQzWG8,
,Murray,United States,,UT,,5/1/15,Intermountain Healthcare EMS Conference,,Intermountain Medical Center,,,,,Killer EKGs (other than STEMI),,,https://drive.google.com/open?id=0B5v5sKtJ0CbJeElzYVd1X0hxT1k,https://www.youtube.com/watch?v=pbWcjapgpOA
,Chicago,United States,,IL,,6/25/15,Social Media and Critical Care,,McCormick Place,,,,,A Novel Method for Prehospital Diagnosis of ST-segment elevated myocardial infarction,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJZ1g4c1VCenNMM2c,
,Murray,United States,,UT,,4/1/16,Intermountain Healthcare EMS Conference,,Intermountain Medical Center,,,,,NSTEMIs that need the cath lab now,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJOS1zNGx0ODV3UW8,https://www.youtube.com/watch?v=2jv00CvY-0Y
,Murray,United States,,UT,,4/1/16,Intermountain Healthcare EMS Conference,,Intermountain Medical Center,,,,,2015 Pre-hospital Research Update,,,https://drive.google.com/open?id=0B5v5sKtJ0CbJRlNpakVmZ01Ld2c,https://www.youtube.com/watch?v=OPfIDD5eWa8
,Washington,United States,,DC,,10/29/17,American College of Emergency Physicians' Scientific Assembly,,Walter E. Washington Convention Center,,,,,An Urban Fire Department's Experience with Left Ventricular Assist Device Patients,,,https://drive.google.com/open?id=1DCSp4HrBRIvLgnTqpFe-IuBxYdxKZF83,
